,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
88,A4N,ALPHA HPA LTD,ORDINARY FULLY PAID,AU0000033060,#A4N,$A4N
89,ALQ,ALS LTD,ORDINARY FULLY PAID,AU000000ALQ6,#ALQ,$ALQ
90,AZI,ALTA ZINC LTD,ORDINARY FULLY PAID,AU000000AZI3,#AZI,$AZI
91,ATC,ALTECH CHEM LTD,ORDINARY FULLY PAID,AU000000ATC9,#ATC,$ATC
92,ATH,ALTERITY THERAP LTD,ORDINARY FULLY PAID,AU0000043945,#ATH,$ATH
93,1AG,ALTERRA LIMITED,ORDINARY FULLY PAID,AU0000001AG5,#1AG,$1AG
94,AGH,ALTHEA GROUP,ORDINARY FULLY PAID,AU0000022774,#AGH,$AGH
95,ALU,ALTIUM LIMITED,ORDINARY FULLY PAID,AU000000ALU8,#ALU,$ALU
96,AME,ALTO METALS LIMITED,ORDINARY FULLY PAID,AU000000AME0,#AME,$AME
97,AJM,ALTURA MINING LTD,ORDINARY FULLY PAID,AU000000AJM9,#AJM,$AJM
98,AWC,ALUMINA LIMITED,ORDINARY FULLY PAID,AU000000AWC3,#AWC,$AWC
99,ALV,ALVOMIN,ORDINARY FULLY PAID,AU0000168999,#ALV,$ALV
100,AMA,AMA GROUP LIMITED,ORDINARY FULLY PAID,AU000000AMA8,#AMA,$AMA
101,3DA,AMAERO INTERNATIONAL,ORDINARY FULLY PAID,AU0000064578,#3DA,$3DA
102,ANL,AMANI GOLD LTD,ORDINARY FULLY PAID,AU000000ANL3,#ANL,$ANL
103,AMO,AMBERTECH LIMITED,ORDINARY FULLY PAID,AU000000AMO9,#AMO,$AMO
104,AMH,AMCIL LIMITED,ORDINARY FULLY PAID,AU000000AMH3,#AMH,$AMH
105,ABR,AMERICAN PACIFIC,ORDINARY FULLY PAID,AU000000ABR5,#ABR,$ABR
106,ARR,AMERICAN RARE EARTHS,ORDINARY FULLY PAID,NZARRE0004S7,#ARR,$ARR
107,AL3,AML3D,ORDINARY FULLY PAID,AU0000079212,#AL3,$AL3
108,AMP,AMP LIMITED,ORDINARY FULLY PAID,AU000000AMP6,#AMP,$AMP
109,ATX,AMPLIA THERAPEUTICS,ORDINARY FULLY PAID,AU0000023822,#ATX,$ATX
110,ALD,AMPOL LIMITED,ORDINARY FULLY PAID,AU0000088338,#ALD,$ALD
111,ALT,ANALYTICA LIMITED,ORDINARY FULLY PAID,AU000000ALT0,#ALT,$ALT
112,ANR,ANATARA LS LTD,ORDINARY FULLY PAID,AU000000ANR0,#ANR,$ANR
113,ANX,ANAX METALS LTD,ORDINARY FULLY PAID,AU0000111114,#ANX,$ANX
114,ADM,ANDEAN,ORDINARY FULLY PAID,AU0000185928,#ADM,$ADM
115,ADN,ANDROMEDA METALS LTD,ORDINARY FULLY PAID,AU000000ADN0,#ADN,$ADN
116,AS1,ANGEL SEAFOOD,ORDINARY FULLY PAID,AU000000AS16,#AS1,$AS1
117,AAR,ANGLO AUSTRALIAN,ORDINARY FULLY PAID,AU000000AAR7,#AAR,$AAR
118,AGGAS,ANGLOGOLD ASHANTI,ORDINARY FULLY PAID,AU0000AGGAS7,#AGGAS,$AGGAS
